title,objectid,filename,format,filesize,creator,contributor,description,ingredients,preptime,cooktime,serving,serving,difficulty,subject,type,format/genre,date,date (digitized),source,relation,filedate,transcription,rights,,
Homemade Noodles,ns-001,ns-001.jpg,JPEG image,29 KB,Paula Smith,"Johnson, Lacey",Handwritten homemade egg noodle recipe traditionally prepared for Easter meals.,Flour; Eggs; Salt; Water,0:45,0:10,10,1 cup,Medium,Noodles; Side dishes; Family traditions; Midwest cooking,Handwritten,PDF; Side Dish,circa 1980,2026-03-30,Handwritten index card,"NS-001-P, NS-001-P2, NS-001-T",2026-04,Handwritten noodle recipe with ingredient list and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Homemade Noodles,ns-001-t,ns-001-t.jpg,JPEG image,37 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten sugar cookies recipe for accessibility.,Flour; Eggs; Salt; Water,0:45,0:10,10,1 cup,Medium,Noodles; Side dishes; Family traditions; Midwest cooking,Text,PDF; Side Dish,circa 1980,2026-03-30,Text,"NS-001, NS-001-P2, NS-001-T, NS-001-P3",2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Homemade Noodles Being Cut,ns-001-p2,ns-001-p2.jpg,JPEG image,135 KB,Paula Smith,"Johnson, Lacey",Photograph of  cutting the noodles using the original recipe,,,,,,,Noodles; Side dishes; Family traditions; Midwest cooking,Photo,PDF; Side Dish,circa 1980,2026-03-30,Photo,"NS-001, NS-001-P, NS-001-T, NS-001-P3, NS-001-P2",2026-04,Rolled out noodles ready to be cut,"CC Lacey Johnson, 2026. Used with family permission",,
Homemade Noodles Drying,ns-001-p3,ns-001-p3.jpg,JPEG image,199 KB,Paula Smith,"Johnson, Lacey",Photograph of rolling out the noodles using the original recipe,,,,,,,Noodles; Side dishes; Family traditions; Midwest cooking,Photo,PDF; Side Dish,circa 1980,2026-03-30,Photo,"NS-001, NS-001-P2, NS-001-T, NS-001-P",2026-04,Noodles drying,"CC Lacey Johnson, 2026. Used with family permission",,
Coconut White Cake,ns-002,ns-002.jpg,JPEG image,26 KB,Paula Smith,"Johnson, Lacey","Handwritten coconut cake recipe with coconut cream cheese frosting, including cake mix base and flavored extracts","White cake mix, Egg whites, Almond extract, Coconut extract, Crisco, Cream cheese, Powdered sugar, Coconut",0:20,0:25,10,1 slice,Medium,"Desserts, Cake, Easter, Family traditions, Midwest cooking", Handwritten,PDF; Dessert,circa 1980,2026-03-30,Handwritten index card,NS-002-T,2026-04,Handwritten frosting and cake recipe with ingredient list and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission",, 
Coconut White Cake,ns-002-t,ns-002-t.jpg,JPEG image,35 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten coconut frosting and white cake recipe for accessibility.,"White cake mix, Egg whites, Almond extract, Coconut extract, Crisco, Cream cheese, Powdered sugar, Coconut",0:20,0:25,10,1 slice,Medium,"Desserts, Cake, Easter, Family traditions, Midwest cooking",Text,PDF; Dessert,circa 1985,2026-03-30,Text,NS-002,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies,ns-003,ns-003.jpg,JPEG image,26 KB,Paula Smith,"Johnson, Lacey",Handwritten Sugar Cookies,"Sugar, flour, butter, baking powder, shortening, salt, eggs, vanilla",00:15 w/ 00:30 Chill time,0:09, 3 dozen,1 cookie,Medium,Desserts; Family traditions; Midwest cooking,Handwritten,PDF; Dessert,circa 1985,2026-04-12,Handwritten index card,NS-003-T; NS-003-P; NS-003-P2,2026-04,Handwritten recipe listing ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies,ns-003-t,ns-003-t.jpg,JPEG image,28 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten sugar cookies recipe for accessibility.,"Sugar, flour, butter, baking powder, shortening, salt, eggs, vanilla",00:15 w/ 00:30 Chill time,0:09, 3 dozen,1 cookie,Medium,Desserts; Family traditions; Midwest cooking,Text,PDF; Dessert,circa 1985,2026-04-12,Text,NS-003; NS-003-P; NS-003-P2,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies ,ns-003-p,ns-003-p.jpg,JPEG image,147 KB,Paula Smith,"Johnson, Lacey",Photograph of prepared sugar cookies using the original recipe,,,,,,,Desserts; Family traditions; Midwest cooking,Photo,PDF; Dessert,circa 1985,2026-04-12,photo,NS-003; NS-003-T; NS-003-P2,2026-04,Cut decorated sugar cookies on table drying,"CC Lacey Johnson, 2026. Used with family permission",,
Sugar Cookies on platter for serving,ns-003-p2,ns-003-p2.jpg,JPEG image,168 KB,Paula Smith,"Johnson, Lacey",Photograph of prepared sugar cookies using the original recipe,,,,,,,Desserts; Family traditions; Midwest cooking,Photo,PDF; Dessert,circa 1985,2026-04-12,photo,NS-003; NS-003-T; NS-003-P,2026-04,Decorated sugar cookies on serving plate,"CC Lacey Johnson, 2026. Used with family permission",,
Easter Nests,ns-004,ns-004.jpg,JPEG image,25 KB,Paula Smith,"Johnson, Lacey","Handwritten Easter Nest recipe traditionally prepared for Easter meals, Sweet shredded wheat nests shaped with melted marshmallows and butter, topped with jelly beans for Easter treats","Margarine, butter, large marshmallows, shredded wheat biscuits, cinnamon, jelly beans",0:15,0:05,24,1 nest,Easy,"Desserts,Easter, No-bake treats, Family traditions, Midwest",Handwritten,PDF; Dessert,circa 1990,2026-04-12,Handwritten index card,NS-004-T; NS-004-P,2026-04,Handwritten recipe listing ingredients and preparation instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Easter Nests,ns-004-t,ns-004-t.jpg,JPEG image,34 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten Easter Nest recipe for accessibility.,"Margarine, butter, large marshmallows, shredded wheat biscuits, cinnamon, jelly beans",0:15,0:05,12,1 nest,Easy,"Desserts,Easter, No-bake treats, Family traditions, Midwest",Text,PDF; Dessert,circa 1990,2026-04-12,Text,NS-004; NS-004-P,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Easter Nests,ns-004-p,ns-004-p.jpg,JPEG image,185 KB,Paula Smith,"Johnson, Lacey",Photograph of prepared Easter Nests using the original recipe,,,,,,,"Desserts,Easter, No-bake treats, Family traditions, Midwest",Photo,PDF; Dessert,circa 1990,2026-04-12,photo,NS-004-T; NS-004,2026-04,"prepared Easter Nest Treats, ready to be wrapped","CC Lacey Johnson, 2026. Used with family permission",,
Oven Baked Brisket,ns-005-t,ns-005-t.jpg,JPEG image,27 KB,Paula Smith,"Johnson, Lacey",Typed transcription of original handwritten oven baked brisket recipe for accessibility.,"Brisket, celery salt, garlic powder, onion powder, liquid smoke, worcestershire sauce",0:20,4:00,8-12,4 oz.,Medium,"Brisket, Easter, Main dishes, Family traditions, Midwest cooking",Text,PDF; Main Dish,circa 1985,2026-04-12,Photo,NS-005,2026-04,Full typed Recipe text,"CC Lacey Johnson, 2026. Used with family permission",,
Oven Baked Brisket,ns-005,ns-005.jpg,JPEG image,23 KB,Paula Smith,"Johnson, Lacey",Handwritten oven baked brisket recipe traditionally prepared for holiday meals.,"Brisket, celery salt, garlic powder, onion powder, liquid smoke, worcestershire sauce",0:20,4:00,8-12,4 oz.,Medium,"Brisket, Easter, Main dishes, Family traditions, Midwest cooking",Handwritten,PDF; Main Dish,circa 1985,2026-04-12,Photo,NS-005-T,2026-04,Handwritten recipe for oven-baked brisket with seasoning and slow roasting instructions,"CC Lacey Johnson, 2026. Used with family permission",,
Parkerhouse Rolls,ns-006,ns-006.jpg,JPEG image,20 KB,Paula Smith,"Johnson, Lacey",Handwritten Parker House rolls recipe prepared using a bread machine and baked until golden brown,"Lukewarm milk, Warm water, Margarine, Egg, Flour, Salt, Sugar",1:30,0:20,12,1 roll,Medium,"Breads, Easter, Side dishes, Family traditions, Midwest cooking",Handwritten,PDF; Bread,circa 1980,2026-04-12,Handwritten recipe card,"NS-006-T, NS-006-P",2026-04,Handwritten recipe listing ingredients and baking instructions,"CC Lacey Johnson, 2026. Used with family permission",,
